temp,city,lat,long
0.76,Abidjan,5.63,-3.23
0.48,Addis Abeba,8.84,38.11
0.78,Ahmadabad,23.31,72.52
0.47,Aleppo,36.17,37.79
0.56,Alexandria,31.35,30.16
0.24,Ankara,39.38,33.29
0.63,Baghdad,32.95,45.00
0.72,Bangalore,12.05,77.26
0.80,Bangkok,13.66,99.91
0.19,Berlin,52.24,13.14
0.59,Bogotá,4.02,-74.73
0.78,Bombay,18.48,72.68
0.59,Cairo,29.74,31.38
0.77,Calcutta,23.31,88.25
0.49,Casablanca,32.95,-6.70
0.04,Changchun,44.20,125.22
0.26,Chengdu,31.35,103.66
0.25,Chicago,42.59,-87.27
0.46,Chongqing,29.74,107.08
0.71,Dakar,15.27,-17.50
0.22,Dalian,39.38,120.69
0.74,Dar Es Salaam,-7.23,39.73
0.73,Delhi,28.13,77.27
0.75,Dhaka,23.31,90.00
0.69,Faisalabad,31.35,73.51
0.78,Fortaleza,-4.02,-40.98
0.59,Gizeh,29.74,31.38
0.62,Guangzhou,23.31,112.72
0.55,Harare,-18.48,30.42
4.34700075930144e-03,Harbin,45.81,125.77
0.79,Ho Chi Minh City,10.45,107.18
0.79,Hyderabad,16.87,78.70
0.34,Istanbul,40.99,29.82
0.46,Izmir,37.78,26.44
0.74,Jaipur,26.52,75.22
0.77,Jakarta,-5.63,106.55
0.32,Jinan,36.17,117.35
0.37,Kabul,34.56,70.05
0.72,Kanpur,26.52,80.60
0.75,Karachi,24.92,67.39
0.15,Kiev,50.63,31.69
0.77,Lagos,5.63,3.23
0.69,Lahore,31.35,73.51
0.72,Lakhnau,26.52,80.60
0.22,London,52.24,-0.00
0.42,Los Angeles,34.56,-118.70
0.84,Madras,13.66,80.09
0.30,Madrid,40.99,-4.26
0.77,Manila,15.27,120.83
0.31,Mashhad,36.17,59.67
0.35,Melbourne,-37.78,144.41
0.43,Mexico,20.09,-98.96
0.79,Mogadishu,2.41,45.80
0.05,Montreal,45.81,-72.69
0.04,Moscow,55.45,36.85
0.38,Nagoya,34.56,136.22
0.75,Nagpur,21.70,78.75
0.43,Nairobi,-0.80,36.16
0.42,Nanjing,31.35,118.74
0.73,New Delhi,28.13,77.27
0.22,New York,40.99,-74.56
0.25,Paris,49.03,2.45
0.27,Peking,39.38,116.53
0.72,Pune,18.48,74.37
0.78,Rangoon,16.87,95.44
0.72,Riyadh,24.92,46.11
0.28,Rome,42.59,13.09
0.03,Saint Petersburg,60.27,29.19
0.76,Santo Domingo,18.48,-69.30
0.24,Seoul,37.78,126.10
0.43,Shanghai,31.35,120.63
0.12,Shenyang,40.99,123.55
0.77,Singapore,0.80,103.66
0.78,Surabaya,-7.23,112.70
0.77,Surat,21.70,73.56
0.46,Sydney,-34.56,151.78
0.64,Taipei,24.92,122.36
0.16,Taiyuan,37.78,111.86
0.27,Tangshan,37.78,113.90
0.27,Tianjin,39.38,116.53
0.31,Tokyo,36.17,139.23
0.10,Toronto,44.20,-80.50
0.46,Wuhan,29.74,114.46
0.28,Xian,34.56,108.97
