temp,city,lat,long
0.79,Ahmadabad,23.31,72.52
0.59,Alexandria,31.35,30.16
0.27,Ankara,39.38,33.29
0.74,Bangalore,12.05,77.26
0.21,Berlin,52.24,13.14
0.79,Bombay,18.48,72.68
0.78,Calcutta,23.31,88.25
0.50,Casablanca,32.95,-6.70
0.26,Chicago,42.59,-87.27
0.75,Delhi,28.13,77.27
0.76,Dhaka,23.31,90.00
0.80,Hyderabad,16.87,78.70
0.37,Istanbul,40.99,29.82
0.50,Izmir,37.78,26.44
0.75,Jaipur,26.52,75.22
0.73,Kanpur,26.52,80.60
0.77,Karachi,24.92,67.39
0.15,Kiev,50.63,31.69
0.73,Lakhnau,26.52,80.60
0.23,London,52.24,-0.00
0.85,Madras,13.66,80.09
0.32,Madrid,40.99,-4.26
0.08,Montreal,45.81,-72.69
0.05,Moscow,55.45,36.85
0.76,Nagpur,21.70,78.75
0.75,New Delhi,28.13,77.27
0.24,New York,40.99,-74.56
0.27,Paris,49.03,2.45
0.73,Pune,18.48,74.37
0.80,Rangoon,16.87,95.44
0.33,Rome,42.59,13.09
0.04,Saint Petersburg,60.27,29.19
0.79,Surat,21.70,73.56
0.12,Toronto,44.20,-80.50
