temp,city,lat,long
0.79,Ahmadabad,23.31,72.52
0.49,Aleppo,36.17,37.79
0.59,Alexandria,31.35,30.16
0.26,Ankara,39.38,33.29
0.66,Baghdad,32.95,45.00
0.72,Bangalore,12.05,77.26
0.19,Berlin,52.24,13.14
0.79,Bombay,18.48,72.68
0.62,Cairo,29.74,31.38
0.77,Calcutta,23.31,88.25
0.49,Casablanca,32.95,-6.70
0.08,Changchun,44.20,125.22
0.29,Chicago,42.59,-87.27
0.26,Dalian,39.38,120.69
0.74,Delhi,28.13,77.27
0.75,Dhaka,23.31,90.00
0.62,Gizeh,29.74,31.38
0.04,Harbin,45.81,125.77
0.79,Hyderabad,16.87,78.70
0.36,Istanbul,40.99,29.82
0.48,Izmir,37.78,26.44
0.75,Jaipur,26.52,75.22
0.73,Kanpur,26.52,80.60
0.77,Karachi,24.92,67.39
0.14,Kiev,50.63,31.69
0.73,Lakhnau,26.52,80.60
0.21,London,52.24,-0.00
0.83,Madras,13.66,80.09
0.29,Madrid,40.99,-4.26
0.08,Montreal,45.81,-72.69
0.05,Moscow,55.45,36.85
0.75,Nagpur,21.70,78.75
0.74,New Delhi,28.13,77.27
0.26,New York,40.99,-74.56
0.24,Paris,49.03,2.45
0.31,Peking,39.38,116.53
0.72,Pune,18.48,74.37
0.79,Rangoon,16.87,95.44
0.31,Rome,42.59,13.09
0.04,Saint Petersburg,60.27,29.19
0.78,Santo Domingo,18.48,-69.30
0.16,Shenyang,40.99,123.55
0.78,Surat,21.70,73.56
0.19,Taiyuan,37.78,111.86
0.30,Tangshan,37.78,113.90
0.31,Tianjin,39.38,116.53
0.13,Toronto,44.20,-80.50
